,StationID,Longitude,Latitude,Height,Remark
33,65,8.595545,47.409209000000004,430,"Wallisellen, Glatt"
34,66,8.595545,47.409209000000004,430,"Wallisellen, Zentrum Glatt"
77,176,8.521961,47.351679,0,Zimmerberg-Basistunnel
2635,8502220,8.434713,47.390882,442,Urdorf
2636,8502221,8.437543,47.357432,488,Birmensdorf ZH
2637,8502222,8.468175,47.325896,528,Bonstetten-Wettswil
2643,8502229,8.43033,47.380971,456,Urdorf Weihermatt
2740,8502559,8.463472,47.368305,588,"Waldegg, Birmensdorferstrasse"
2753,8502572,8.513917999999999,47.370293,421,"Zürich, Goldbrunnenplatz"
2871,8502876,8.438705,47.338209,537,"Aesch ZH, Gemeindehaus"
2880,8502885,8.467781,47.315088,528,"Bonstetten, Dorfplatz"
2895,8502950,8.437173,47.353936,468,"Birmensdorf ZH, Zentrum"
2930,8503000,8.540192,47.378177,408,Zürich HB
2931,8503001,8.48894,47.391481,399,Zürich Altstetten
2932,8503003,8.548466000000001,47.366611,411,Zürich Stadelhofen
2933,8503004,8.561372,47.350124,408,Zürich Tiefenbrunnen
2934,8503006,8.544115,47.411528999999994,442,Zürich Oerlikon
2935,8503007,8.544636,47.418746999999996,442,Zürich Seebach
2936,8503008,8.508564999999999,47.420913,456,Zürich Affoltern
2937,8503009,8.533588,47.34744,409,Zürich Wollishofen
2938,8503010,8.530805,47.364098999999996,409,Zürich Enge
2939,8503011,8.523462,47.371472,405,Zürich Wiedikon
2940,8503015,8.529359,47.393032,425,Zürich Wipkingen
2941,8503016,8.562386,47.450383,430,Zürich Flughafen
2942,8503020,8.517106,47.385195,415,Zürich Hardbrücke
2943,8503051,8.518424000000001,47.362632,421,Zürich Binz
2944,8503052,8.507942,47.364781,446,Zürich Friesenberg
2945,8503053,8.503047,47.364988000000004,459,Zürich Schweighof
2946,8503054,8.495197000000001,47.364996999999995,485,Zürich Triemli
2947,8503055,8.46598,47.365836,620,Uitikon Waldegg
2948,8503056,8.477376,47.360229,682,Ringlikon
2949,8503057,8.487653,47.352364,813,Uetliberg
2950,8503059,8.54813,47.366353000000004,411,Zürich Stadelhofen FB
2956,8503065,8.647967999999999,47.325340000000004,689,Forch
2957,8503066,8.623806,47.331689000000004,659,Zumikon
2958,8503067,8.6034,47.346056,611,Zollikerberg
2959,8503068,8.631071,47.328178,659,Maiacher
2960,8503069,8.583203999999999,47.351015999999994,524,Zürich Rehalp
2963,8503074,8.637845,47.325814,675,Neue Forch
2964,8503075,8.617026,47.336796,651,Waltikon
2965,8503077,8.596796000000001,47.347318,602,Spital Zollikerberg
2966,8503078,8.593024,47.345476,590,Waldburg
